Db;Name;Comment;класс;функция ;Вызовы внутри хранимых процедур 
analizpdv;AnalizInnOutFullJoinOneBranch;;-;-;
analizpdv;AnalizInnOutInnerJoinOneBranch;Внутренне соединение данных ЕРПН и реестра за период по одному филиалу;-;-;
analizpdv;AnalizInnOutLeftJoinOneBranch;Левое соединение данных ЕРПН и реестра за период по одному филиалу. Вывод только данных из ЕРПН которые не совпали с реестром;-;-;
analizpdv;AnalizInnOutRightJoinOneBranch;Правое соединение данных ЕРПН и реестра за период по одному филиалу. Вывод только данных из Реестра которые не совпали с ЕРПН;-;-;
analizpdv;AnalizPDVOutDiffDateOneBranchInnerJoinERPN_tempTable;;getDataFromAnalizPDVOutDiff;getAllDiff;
;;;getDataPDVOutDiff;getAllDiff;
analizpdv;AnalizPDVOutDiffDateOneBranchInnerJoinReestr_tempTable;Проверка факта включения опаздавших в реестр филиала;getDataFromAnalizPDVOutDiff;getDiffToReestr;
;;;getDataPDVOutDiff;getDiffToReestr;
analizpdv;AnalizPDVOutDiffDateOneBranchLeftJoinERPN_tempTable;Проверка факта включения опаздавших в реестр филиала;getDataFromAnalizPDVOutDiff;getDiffToNotReestr;
;;;getDataPDVOutDiff;getDiffToNotReestr;
analizpdv;full_join;;-;-;
analizpdv;getAnalizInnInInnerJoinAllUZ;Анализ ПДВ по кредиту в резрезе ИНН за период. Внутренне соединение для не совпавших сумм ПДВ;getDataInINNByAll ;getReestrEqualErpnAllUZ;
analizpdv;getAnalizInnInLeftJoinAllUZ;Анализ ПДВ по кредиту в резрезе ИНН за период. Вывод только ИНН с ЕРПН которые не имеют сумм в реестрах;getDataInINNByAll ;getErpnNoEqualReestrAllUZ;
;;;getDataInINNByAll;getEqualNoReestrErpnAllUZ;
analizpdv;getAnalizInnInRightJoinAllUZ;Анализ ПДВ по кредиту в резрезе ИНН за период. Вывод только ИНН с Реестров  которые не имеют сумм в ЕРПН;getDataInINNByAll;getReestrNoEqualErpnAllUZ;
analizpdv;getAnalizInnOutInnerJoin;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVInINN.php;getReestrEqualErpn;
;;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVOutINN.php;getReestrEqualErpn;
analizpdv;getAnalizInnOutInnerJoinAllUZ;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVInINN.php;getReestrEqualErpnAllUZ;
;;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVOutINN.php;getReestrEqualErpnAllUZ;
;;;getDataOutINNByAll;getReestrEqualErpnAllUZ;
analizpdv;getAnalizInnOutInnerJoinAllUZ_tmp;;getDataOutInnByAllUZ;getReestrEqualErpnAllUZ;
analizpdv;getAnalizInnOutInnerJoinBranch;Внетренне соединение данных ЕРПН и реестра за период по филиалу.;-;-;
analizpdv;getAnalizInnOutLeftJoin;Левое соединение данных ЕРПН и реестра за период по УЗ. Вывод только данных из ЕРПН которые не совпали с реестром;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVInINN.php;getErpnNoEqualReestr;
;;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVOutINN.php;getErpnNoEqualReestr;
analizpdv;getAnalizInnOutLeftJoinAllUZ;Левое соединение данных ЕРПН и реестра за период по УЗ. Вывод только данных из ЕРПН которые не совпали с реестром;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVInINN.php;getErpnNoEqualReestrAllUZ;
;;;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVOutINN.php;getErpnNoEqualReestrAllUZ;
;;;getDataOutINNByAll;getErpnNoEqualReestrAllUZ;
;;;getDataOutInnByAllUZ;getErpnNoEqualReestrAllUZ;
analizpdv;getAnalizInnOutLeftJoinBranch;Левое соединение данных ЕРПН и реестра за период по УЗ. Вывод только данных из ЕРПН которые не совпали с реестром;-;-;
analizpdv;getAnalizInnOutRightJoin;Правое соединение данных ЕРПН и реестра за период по одному филиалу. Вывод только данных из Реестра которые не совпали с ЕРПН;getDataFromAnalizPDVOutINN D:\OpenServer525\domains\AnalizPDV\src\AnalizPdvBundle\Model\getDataFromSQL\getDataFromAnalizPDVInINN.php;getReestrNoEqualErpn;
